,,Property,,,Chemical compositions,,,,,,,,,,,,,,,Processing actions,,,,,,,,
Number,Temperature(K),YS(Mpa),UTS(Mpa),El(%),Al(at%),Co(at%),Cr(at%),Fe(at%),Ni(at%),Ti(at%),Ta(at%),V(at%),Mn(at%),Cu(at%),Mo(at%),C(at%),V(at%),W(at%),Nb(at%),Hom_Temp(K),CR(%),recrystalize temperature/K,recrystalize time/mins,Anneal_Temp(K),Anneal_Time(h),aging temperature/K,aging time/hours,
31,293,485.2,937.0,76.35,0.0,33.3,0.0,0.0,33.3,0.0,0.0,33.3,0.0,0.0,0.0,0.0,33.3,0.0,0.0,1473.0,0,,,1423.0,0.5,,0,
32,194,505.4,999.4,77.45,0.0,33.3,0.0,0.0,33.3,0.0,0.0,33.3,0.0,0.0,0.0,0.0,33.3,0.0,0.0,1473.0,0,,,1423.0,0.5,,0,
33,77,643.3,1222.7,85.3,0.0,33.3,0.0,0.0,33.3,0.0,0.0,33.3,0.0,0.0,0.0,0.0,33.3,0.0,0.0,1473.0,0,,,1423.0,0.5,,0,
34,298,805.0,1603.0,53.0,0.0,33.3,33.3,0.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1273.0,0,,,,,,0,
35,200,772.0,1766.0,55.0,0.0,33.3,33.3,0.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1273.0,0,,,,,,0,
36,77,872.0,1809.0,54.0,0.0,33.3,33.3,0.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1273.0,0,,,,,,0,
37,293,265.0,600.0,47.0,0.0,20.0,20.0,20.0,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,1473.0,0,1173.0,1.0,,,,0,
38,293,460.0,1060.0,58.0,0.0,20.0,20.0,20.0,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,1473.0,0,1173.0,1.0,,,,0,
39,298,545.6,1076.0,16.6,24.5,24.5,24.5,24.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,,,,0,
40,203,580.0,1034.0,10.5,24.5,24.5,24.5,24.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,,,,0,
41,77,715.0,952.0,3.7,24.5,24.5,24.5,24.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,,,,0,
42,298,546.4,1046.0,17.7,24.475,24.475,24.475,24.475,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,,,,0,
43,203,595.0,1168.0,15.8,24.475,24.475,24.475,24.475,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,,,,0,
44,77,690.0,1051.0,6.7,24.475,24.475,24.475,24.475,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,,,,0,
45,298,544.5,1120.0,20.5,24.45,24.45,24.45,24.45,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,,,,0,
46,203,570.0,1143.0,18.0,24.45,24.45,24.45,24.45,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,,,,0,
47,77,705.0,1151.0,9.3,24.45,24.45,24.45,24.45,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,,,,0,
