,,Property,,,Chemical compositions,,,,,,,,,,,,,,,Processing actions,,,,,,,,
Number,Temperature(K),YS(Mpa),UTS(Mpa),El(%),Al(at%),Co(at%),Cr(at%),Fe(at%),Ni(at%),Ti(at%),Ta(at%),V(at%),Mn(at%),Cu(at%),Mo(at%),C(at%),V(at%),W(at%),Nb(at%),Hom_Temp(K),CR(%),recrystalize temperature/K,recrystalize time/mins,Anneal_Temp(K),Anneal_Time(h),aging temperature/K,aging time/hours,
138,298,420.0,870.0,50.0,3.0,34.46,32.12,0.0,27.42,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1473.0,0,,,1273.0,1.0,,0,
139,77,730.0,1300.0,65.0,3.0,34.46,32.12,0.0,27.42,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1473.0,0,,,1273.0,1.0,,0,
140,298,870.0,1300.0,28.0,3.0,34.46,32.12,0.0,27.42,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1473.0,0,,,1273.0,1.0,973.0,4.0,
141,77,970.0,1630.0,35.0,3.0,34.46,32.12,0.0,27.42,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1473.0,0,,,1273.0,1.0,973.0,4.0,
142,298,695.0,887.0,40.0,0.0,31.72,36.45,0.0,31.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,,,,0,
143,150,740.0,1037.0,44.0,0.0,31.72,36.45,0.0,31.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,,,,0,
144,298,330.0,783.0,76.0,0.0,31.72,36.45,0.0,31.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,,,,0,
145,150,405.0,916.0,81.0,0.0,31.72,36.45,0.0,31.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,,,,0,
146,298,220.0,570.0,42.0,0.0,10.0,10.0,50.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,,,,0,
147,77,360.0,920.0,17.0,0.0,10.0,10.0,50.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,,,,0,
148,298,350.0,860.0,40.0,0.0,10.0,10.0,50.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,1173.0,10.0,,0,
149,77,450.0,1350.0,44.0,0.0,10.0,10.0,50.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,1173.0,10.0,,0,
150,298,330.0,637.0,54.0,0.0,10.0,10.0,40.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,1173.0,10.0,,0,
151,77,570.0,1150.0,77.0,0.0,10.0,10.0,40.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,1173.0,10.0,,0,
152,77,,1040.0,62.0,0.0,0.0,15.0,55.0,10.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,1173.0,10.0,,0,
153,77,,980.0,83.0,0.0,0.0,15.0,50.0,10.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,1173.0,10.0,,0,
154,293,,560.0,59.0,0.0,0.0,15.0,55.0,10.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,1173.0,10.0,,0,
155,293,,490.0,59.0,0.0,0.0,15.0,50.0,10.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,1173.0,10.0,,0,
156,293,288.0,697.0,,0.0,10.0,10.0,50.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1473.0,0,,,1173.0,3.0,,0,
157,77,398.0,1323.0,,0.0,10.0,10.0,50.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1473.0,0,,,1173.0,3.0,,0,
158,293,463.0,845.0,,0.0,10.0,10.0,49.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1473.0,0,,,1173.0,3.0,,0,
159,77,1078.0,1630.0,,0.0,10.0,10.0,49.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1473.0,0,,,1173.0,3.0,,0,
160,293,517.0,909.0,,0.0,10.0,10.0,48.2,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1473.0,0,,,1173.0,3.0,,0,
161,77,1206.0,1620.0,,0.0,10.0,10.0,48.2,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1473.0,0,,,1173.0,3.0,,0,
162,293,596.0,977.0,,0.0,10.0,10.0,47.4,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1473.0,0,,,1173.0,3.0,,0,
163,77,,,,0.0,10.0,10.0,47.4,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1473.0,0,,,1173.0,3.0,,0,
164,298,988.0,1357.0,38.4,0.0,33.4,0.0,0.0,33.7,0.0,0.0,32.9,0.0,0.0,0.0,0.0,32.9,0.0,0.0,1473.0,0,,,1173.0,0.167,,0,
165,298,710.0,1172.0,48.7,0.0,33.4,0.0,0.0,33.7,0.0,0.0,32.9,0.0,0.0,0.0,0.0,32.9,0.0,0.0,1473.0,0,,,1173.0,1.0,,0,
166,298,627.0,1140.0,52.0,0.0,33.4,0.0,0.0,33.7,0.0,0.0,32.9,0.0,0.0,0.0,0.0,32.9,0.0,0.0,1473.0,0,,,1223.0,1.0,,0,
167,298,501.0,973.0,70.0,0.0,33.4,0.0,0.0,33.7,0.0,0.0,32.9,0.0,0.0,0.0,0.0,32.9,0.0,0.0,1473.0,0,,,1273.0,1.0,,0,
168,77,1217.0,1703.0,42.1,0.0,33.4,0.0,0.0,33.7,0.0,0.0,32.9,0.0,0.0,0.0,0.0,32.9,0.0,0.0,1473.0,0,,,1173.0,0.167,,0,
169,77,960.0,1551.0,56.7,0.0,33.4,0.0,0.0,33.7,0.0,0.0,32.9,0.0,0.0,0.0,0.0,32.9,0.0,0.0,1473.0,0,,,1173.0,1.0,,0,
170,77,895.0,1474.0,58.7,0.0,33.4,0.0,0.0,33.7,0.0,0.0,32.9,0.0,0.0,0.0,0.0,32.9,0.0,0.0,1473.0,0,,,1223.0,1.0,,0,
171,77,710.0,1271.0,75.3,0.0,33.4,0.0,0.0,33.7,0.0,0.0,32.9,0.0,0.0,0.0,0.0,32.9,0.0,0.0,1473.0,0,,,1273.0,1.0,,0,
172,298,257.0,492.0,47.0,0.0,0.0,15.0,50.0,10.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,1173.0,10.0,,0,
173,77,460.0,936.0,89.0,0.0,0.0,15.0,50.0,10.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,1173.0,10.0,,0,
174,298,356.0,603.0,53.0,3.0,0.0,14.55,48.5,9.7,0.0,0.0,0.0,24.25,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,1173.0,10.0,,0,
175,77,557.0,1014.0,87.0,3.0,0.0,14.55,48.5,9.7,0.0,0.0,0.0,24.25,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,1173.0,10.0,,0,
176,298,396.0,653.0,50.0,5.0,0.0,14.25,47.5,9.5,0.0,0.0,0.0,23.75,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,1173.0,10.0,,0,
177,77,560.0,1077.0,85.0,5.0,0.0,14.25,47.5,9.5,0.0,0.0,0.0,23.75,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,1173.0,10.0,,0,
178,298,480.0,724.0,40.0,6.0,0.0,14.1,47.0,9.4,0.0,0.0,0.0,23.5,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,1173.0,10.0,,0,
179,77,719.0,1092.0,58.0,6.0,0.0,14.1,47.0,9.4,0.0,0.0,0.0,23.5,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,1173.0,10.0,,0,
180,298,680.0,852.0,32.0,7.0,0.0,13.95,46.5,9.3,0.0,0.0,0.0,23.25,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,1173.0,0.5,,0,
181,77,860.0,1134.0,23.0,7.0,0.0,13.95,46.5,9.3,0.0,0.0,0.0,23.25,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,1173.0,0.5,,0,
182,4.2,560.0,1392.0,83.0,0.0,33.3,33.4,0.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1473.0,0,,,1173.0,2.0,,0,
183,77,496.0,1202.0,78.0,0.0,33.3,33.4,0.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1473.0,0,,,1173.0,2.0,,0,
184,298,300.0,822.0,74.0,0.0,33.3,33.4,0.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1473.0,0,,,1173.0,2.0,,0,
185,293,145.0,430.0,73.0,0.0,20.0,26.0,20.0,14.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,1273.0,8.0,,0,
186,203,355.0,730.0,86.0,0.0,20.0,26.0,20.0,14.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,1273.0,8.0,,0,
187,77,450.0,1020.0,95.0,0.0,20.0,26.0,20.0,14.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,1273.0,8.0,,0,
188,20.0,575.0,1209.0,66.0,0.0,20.0,26.0,20.0,14.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,1273.0,8.0,,0,
189,4.2,660.0,1300.0,65.0,0.0,20.0,26.0,20.0,14.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,1273.0,8.0,,0,
190,293,1180.0,1335.0,19.0,0.0,48.9,48.9,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1473.0,0,,,,,923.0,120.0,
191,77,1320.0,1552.0,25.0,0.0,48.9,48.9,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1473.0,0,,,,,923.0,120.0,
192,298,220.0,475.0,55.2,0.0,10.0,10.0,40.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,,,,0,
193,159,260.0,566.0,59.6,0.0,10.0,10.0,40.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,,,,0,
194,77,425.0,885.0,69.5,0.0,10.0,10.0,40.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,,,,0,
195,298,314.0,654.0,62.1,0.0,9.78,9.78,39.12,0.0,0.0,0.0,0.0,39.12,0.0,0.0,2.2,0.0,0.0,0.0,,0,,,,,,0,
196,159,460.0,822.0,69.1,0.0,9.78,9.78,39.12,0.0,0.0,0.0,0.0,39.12,0.0,0.0,2.2,0.0,0.0,0.0,,0,,,,,,0,
197,77,739.0,1030.0,26.8,0.0,9.78,9.78,39.12,0.0,0.0,0.0,0.0,39.12,0.0,0.0,2.2,0.0,0.0,0.0,,0,,,,,,0,
198,298,418.0,785.0,77.8,0.0,9.67,9.67,38.68,0.0,0.0,0.0,0.0,38.68,0.0,0.0,3.3,0.0,0.0,0.0,,0,,,,,,0,
199,159,540.0,900.0,55.2,0.0,9.67,9.67,38.68,0.0,0.0,0.0,0.0,38.68,0.0,0.0,3.3,0.0,0.0,0.0,,0,,,,,,0,
200,77,891.0,1025.0,10.2,0.0,9.67,9.67,38.68,0.0,0.0,0.0,0.0,38.68,0.0,0.0,3.3,0.0,0.0,0.0,,0,,,,,,0,
201,0.5,930.0,,45.5,0.0,17.5,12.5,55.0,10.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1523.0,0,,,1173.0,1.0,,0,
202,2.1,980.0,,33.0,0.0,17.5,12.5,55.0,10.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1523.0,0,,,1173.0,1.0,,0,
203,4.2,1075.0,1651.0,36.7,0.0,17.5,12.5,55.0,10.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1523.0,0,,,1173.0,1.0,,0,
204,77,855.0,,55.0,0.0,17.5,12.5,55.0,10.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1523.0,0,,,1173.0,1.0,,0,
205,298,460.0,,47.0,0.0,17.5,12.5,55.0,10.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1523.0,0,,,1173.0,1.0,,0,
206,,2201.26,,,0.0,0.0,0.0,0.0,0.0,30.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,,0,,,,,,0,
207,,1764.04,,,0.0,0.0,0.0,0.0,0.0,30.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,,0,,,,,,0,
208,,1650.47,,,0.0,0.0,0.0,0.0,0.0,30.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,,0,,,,,,0,
209,,1383.6,,,0.0,0.0,0.0,0.0,0.0,30.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,,0,,,,,,0,
210,,1179.18,,,0.0,0.0,0.0,0.0,0.0,30.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,,0,,,,,,0,
211,,1111.04,,,0.0,0.0,0.0,0.0,0.0,30.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,,0,,,,,,0,
212,,1031.55,,,0.0,0.0,0.0,0.0,0.0,30.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,,0,,,,,,0,
213,,2252.37,,,0.0,0.0,0.0,0.0,0.0,30.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,,0,,,,,,0,
214,,1894.64,,,0.0,0.0,0.0,0.0,0.0,30.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,,0,,,,,,0,
215,,1570.98,,,0.0,0.0,0.0,0.0,0.0,30.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,,0,,,,,,0,
216,,1366.56,,,0.0,0.0,0.0,0.0,0.0,30.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,,0,,,,,,0,
217,,1218.93,,,0.0,0.0,0.0,0.0,0.0,30.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,,0,,,,,,0,
218,,1162.15,,,0.0,0.0,0.0,0.0,0.0,30.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,,0,,,,,,0,
219,,1059.94,,,0.0,0.0,0.0,0.0,0.0,30.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,,0,,,,,,0,
220,,2394.32,,,0.0,0.0,0.0,0.0,0.0,30.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,,0,,,1270.0,1.0,,0,
221,,1945.74,,,0.0,0.0,0.0,0.0,0.0,30.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,,0,,,1270.0,1.0,,0,
222,,1389.27,,,0.0,0.0,0.0,0.0,0.0,30.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,,0,,,1270.0,1.0,,0,
223,,1258.68,,,0.0,0.0,0.0,0.0,0.0,30.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,,0,,,1270.0,1.0,,0,
224,,1048.58,,,0.0,0.0,0.0,0.0,0.0,30.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,,0,,,1270.0,1.0,,0,
225,,912.3,,,0.0,0.0,0.0,0.0,0.0,30.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,,0,,,1270.0,1.0,,0,
226,,628.39,,,0.0,0.0,0.0,0.0,0.0,30.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,,0,,,1270.0,1.0,,0,
227,113,330.0,590.0,45.0,0.0,20.43,19.81,20.15,20.22,0.0,0.0,0.0,18.75,0.0,0.0,0.23,0.0,0.0,0.0,,0,,,,,,0,
228,173,300.0,540.0,38.0,0.0,20.43,19.81,20.15,20.22,0.0,0.0,0.0,18.75,0.0,0.0,0.23,0.0,0.0,0.0,,0,,,,,,0,
229,213,260.0,470.0,39.0,0.0,20.43,19.81,20.15,20.22,0.0,0.0,0.0,18.75,0.0,0.0,0.23,0.0,0.0,0.0,,0,,,,,,0,
230,113,330.0,630.0,40.0,0.0,20.43,19.81,20.15,20.22,0.0,0.0,0.0,18.75,0.0,0.0,0.23,0.0,0.0,0.0,,0,,,,,,0,
231,173,290.0,520.0,32.0,0.0,20.43,19.81,20.15,20.22,0.0,0.0,0.0,18.75,0.0,0.0,0.23,0.0,0.0,0.0,,0,,,,,,0,
232,213,260.0,510.0,37.0,0.0,20.43,19.81,20.15,20.22,0.0,0.0,0.0,18.75,0.0,0.0,0.23,0.0,0.0,0.0,,0,,,,,,0,
233,113,330.0,610.0,40.0,0.0,20.43,19.81,20.15,20.22,0.0,0.0,0.0,18.75,0.0,0.0,0.23,0.0,0.0,0.0,,0,,,,,,0,
234,173,310.0,530.0,31.0,0.0,20.43,19.81,20.15,20.22,0.0,0.0,0.0,18.75,0.0,0.0,0.23,0.0,0.0,0.0,,0,,,,,,0,
235,213,270.0,510.0,40.0,0.0,20.43,19.81,20.15,20.22,0.0,0.0,0.0,18.75,0.0,0.0,0.23,0.0,0.0,0.0,,0,,,,,,0,
236,77,120.0,,,2.2,24.6,24.9,24.2,24.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,,,,0,
237,200,168.0,,,2.2,24.6,24.9,24.2,24.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,,,,0,
238,298,275.0,,,2.2,24.6,24.9,24.2,24.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,,,,0,
239,293,272.0,567.0,47.0,0.0,10.0,10.0,40.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,1473.0,0,,,1173.0,3.0,,0,
240,77,481.0,1003.0,65.0,0.0,10.0,10.0,40.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,1473.0,0,,,1173.0,3.0,,0,
241,298,359.0,732.0,55.8,0.0,30.07,9.92,45.55,4.78,0.0,0.0,9.68,0.0,0.0,0.0,0.0,9.68,0.0,0.0,1373.0,0,,,1273.0,10.0,,0,
242,77,629.0,1300.0,67.0,0.0,30.07,9.92,45.55,4.78,0.0,0.0,9.68,0.0,0.0,0.0,0.0,9.68,0.0,0.0,1373.0,0,,,1273.0,10.0,,0,
243,298,345.0,769.0,57.2,0.0,29.84,10.09,45.69,2.45,0.0,0.0,9.45,2.48,0.0,0.0,0.0,9.45,0.0,0.0,1373.0,0,,,1273.0,10.0,,0,
244,77,621.0,1450.0,53.9,0.0,29.84,10.09,45.69,2.45,0.0,0.0,9.45,2.48,0.0,0.0,0.0,9.45,0.0,0.0,1373.0,0,,,1273.0,10.0,,0,
245,298,374.0,802.0,66.5,0.0,29.85,10.04,45.65,0.0,0.0,0.0,9.55,4.91,0.0,0.0,0.0,9.55,0.0,0.0,1373.0,0,,,1273.0,10.0,,0,
246,77,640.0,1623.0,46.8,0.0,29.85,10.04,45.65,0.0,0.0,0.0,9.55,4.91,0.0,0.0,0.0,9.55,0.0,0.0,1373.0,0,,,1273.0,10.0,,0,
247,293,530.0,920.0,60.0,0.0,33.3,33.3,0.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1473.0,0,1073.0,1.0,1073.0,1.0,,0,
248,140,520.0,1050.0,80.0,0.0,25.0,25.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1473.0,0,1073.0,1.0,1073.0,1.0,,0,
249,293,390.0,705.0,57.0,0.0,25.0,25.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1473.0,0,1073.0,1.0,1073.0,1.0,,0,
250,298,138.0,338.0,25.0,0.0,20.0,20.0,20.0,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,,,,0,
251,223,155.0,400.0,27.0,0.0,20.0,20.0,20.0,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,,,,0,
252,173,300.0,610.0,31.0,0.0,20.0,20.0,20.0,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,,,,0,
253,123,310.0,650.0,33.0,0.0,20.0,20.0,20.0,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,,,,0,
254,298,165.0,,,2.16,23.01,23.54,26.96,24.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,,,,0,
255,298,181.0,,,2.16,23.01,23.54,26.96,24.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,,,,0,
256,298,210.6,,,2.16,23.01,23.54,26.96,24.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,,,,0,
257,298,290.5,,,2.16,23.01,23.54,26.96,24.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,,,,0,
258,298,350.7,,,2.16,23.01,23.54,26.96,24.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,,,,0,
259,298,400.0,,,2.16,23.01,23.54,26.96,24.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,,,,0,
260,77,275.2,,,2.16,23.01,23.54,26.96,24.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,,,,0,
261,77,461.3,,,2.16,23.01,23.54,26.96,24.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,,,,0,
262,77,499.6,,,2.16,23.01,23.54,26.96,24.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,,,,0,
263,77,598.9,,,2.16,23.01,23.54,26.96,24.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,,,,0,
264,300,266.0,544.0,112.0,0.0,33.3,33.3,0.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,,,,0,
265,77,370.0,817.0,107.0,0.0,33.3,33.3,0.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,,,,0,
266,77,881.0,1234.0,21.4,0.0,8.12,9.2,34.26,0.0,0.0,0.0,0.0,34.83,0.0,0.0,13.59,0.0,0.0,0.0,1373.0,0,,,1373.0,30.0,,0,
267,293,447.0,888.0,72.5,0.0,8.12,9.2,34.26,0.0,0.0,0.0,0.0,34.83,0.0,0.0,13.59,0.0,0.0,0.0,1373.0,0,,,1373.0,30.0,,0,
268,77,987.0,1477.0,52.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1373.0,0,,,1373.0,30.0,,0,
269,293,551.0,1038.0,54.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1373.0,0,,,1373.0,30.0,,0,
270,77,2112.0,,11.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1373.0,0,,,773.0,2.0,,0,
271,293,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1373.0,0,,,773.0,2.0,,0,
272,293,640.0,1031.0,55.4,0.0,29.0,29.0,29.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1473.0,0,,,1346.0,1.0,,0,
273,173,1017.0,1410.0,40.6,0.0,29.0,29.0,29.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1473.0,0,,,1346.0,1.0,,0,
274,77,1338.0,1780.0,46.3,0.0,29.0,29.0,29.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1473.0,0,,,1346.0,1.0,,0,
275,298,352.0,1635.0,76.0,0.0,32.37,33.2,0.0,34.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,,,,0,
276,210,476.0,1676.0,75.0,0.0,32.37,33.2,0.0,34.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,,,,0,
277,298,557.0,841.0,66.0,0.0,29.67,37.19,0.0,33.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,,,,0,
278,77,787.0,1237.0,33.0,0.0,29.67,37.19,0.0,33.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,,,,0,
279,298,300.0,773.0,73.0,0.0,29.67,37.19,0.0,33.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,,,,0,
280,77,577.0,1147.0,71.0,0.0,29.67,37.19,0.0,33.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,,,,0,
281,293,155.0,680.0,65.0,0.0,12.5,9.5,65.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,,0,,,,,,0,
282,77,375.0,1690.0,27.0,0.0,12.5,9.5,65.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,,0,,,,,,0,
283,293,1385.0,1440.0,6.0,0.0,12.5,9.5,65.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,,0,,,,,,0,
284,77,1380.0,2070.0,26.0,0.0,12.5,9.5,65.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,,0,,,,,,0,
285,298,,636.5,,10.03,10.03,10.03,49.85,10.03,0.0,0.0,0.0,10.03,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,,,,0,
286,77,,716.3,,10.03,10.03,10.03,49.85,10.03,0.0,0.0,0.0,10.03,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,,,,0,
287,298,280.0,650.0,47.0,0.0,24.68,25.3,27.08,20.6,2.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1473.0,0,,,,,,0,
288,77,400.0,785.0,60.0,0.0,24.68,25.3,27.08,20.6,2.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1473.0,0,,,,,,0,
