,Property,,,Chemical compositions,,,,,,,,,,,,,,,Processing actions,,,,,,,
Number,YS(Mpa),UTS(Mpa),El(%),Al(at%),Co(at%),Cr(at%),Fe(at%),Ni(at%),Ti(at%),Ta(at%),V(at%),Mn(at%),Cu(at%),Mo(at%),C(at%),V(at%),W(at%),Nb(at%),Hom_Temp(K),CR(%),recrystalize temperature/K,recrystalize time/mins,Anneal_Temp(K),Anneal_Time(h),aging temperature/K,aging time/hours
49,253,492,23.6,0,17.5,12.5,55,10,0,0,0,0,0,5,0,0,0,0,1423,50,298,0,1373,0.083333333,298,0
50,330,583,42.4,0,17.5,12.5,55,10,0,0,0,0,0,5,0,0,0,0,1423,50,298,0,1373,0.166666667,298,0
51,309,630,71.8,0,17.5,12.5,55,10,0,0,0,0,0,5,0,0,0,0,1423,50,298,0,1373,0.333333333,298,0
52,387,759,57,0,20,20,20,20,0,0,0,20,0,0,0,0,0,0,1373,60,298,0,1073,1,298,0
53,280,710,40,0,25,25,25,25,0,0,0,0,0,0,0,0,0,0,1473,92,298,0,1173,1,298,0
54,200,550,38,0,25,0,25,25,0,0,0,25,0,0,0,0,0,0,1373,90,298,0,1273,1,298,0
55,260,690,43,0,25,25,0,25,0,0,0,25,0,0,0,0,0,0,1373,90,298,0,1273,1,298,0
56,195,507,32,0,33.333,0,33.333,33.333,0,0,0,0,0,0,0,0,0,0,1473,92,298,0,1173,1,298,0
57,310,835,63,0,33.333,33.333,0,33.333,0,0,0,0,0,0,0,0,0,0,1473,92,298,0,1273,1,298,0
58,220,600,30,0,0,0,33.333,33.333,0,0,0,33.333,0,0,0,0,0,0,1373,90,298,0,1173,1,298,0
59,215,630,36,0,33.333,0,0,33.333,0,0,0,33.333,0,0,0,0,0,0,1373,90,298,0,1173,1,298,0
60,180,500,36,0,0,0,50,50,0,0,0,0,0,0,0,0,0,0,1473,92,298,0,1173,1,298,0
61,100,535,42,0,50,0,0,50,0,0,0,0,0,0,0,0,0,0,1473,92,298,0,1073,1,298,0
62,350,701,61,0,0,20,40,20,0,0,0,20,0,0,0,0,0,0,1473,0,298,0,923,0.166666667,298,0
63,740,800,16,0,0,20,40,20,0,0,0,20,0,0,0,0,0,0,1473,50,298,0,923,0.166666667,298,0
64,1000,1000,6,0,0,20,40,20,0,0,0,20,0,0,0,0,0,0,1473,70,298,0,923,0.166666667,298,0
65,1360,1470,15,0,19.8,19.8,19.8,19.8,0,0,0,19.8,0,0,1,0,0,0,1273,80,298,0,0,0,298,0
66,1070,1270,14,0,19.8,19.8,19.8,19.8,0,0,0,19.8,0,0,1,0,0,0,1273,80,298,0,973,0.5,298,0
67,720,980,37,0,19.8,19.8,19.8,19.8,0,0,0,19.8,0,0,1,0,0,0,1273,80,298,0,1073,0.5,298,0
68,570,880,48,0,19.8,19.8,19.8,19.8,0,0,0,19.8,0,0,1,0,0,0,1273,80,298,0,1173,0.5,298,0
69,380,810,66,0,19.8,19.8,19.8,19.8,0,0,0,19.8,0,0,1,0,0,0,1273,80,298,0,1373,0.5,298,0
70,1417,1534,9,0,33.3333,33.3333,0,33.3333,0,0,0,0,0,0,0,0,0,0,1373,78,298,0,0,0,298,0
71,1658,1747,1.6,0,33.3333,33.3333,0,33.3333,0,0,0,0,0,0,0,0,0,0,1373,78,298,0,873,0.5,298,0
72,1258,1310,16,0,33.3333,33.3333,0,33.3333,0,0,0,0,0,0,0,0,0,0,1373,78,298,0,923,0.5,298,0
73,1053,1201,35,0,33.3333,33.3333,0,33.3333,0,0,0,0,0,0,0,0,0,0,1373,78,298,0,873,1,298,0
74,982,1191,43,0,33.3333,33.3333,0,33.3333,0,0,0,0,0,0,0,0,0,0,1373,78,298,0,923,1,298,0
75,847,1121,51,0,33.3333,33.3333,0,33.3333,0,0,0,0,0,0,0,0,0,0,1373,78,298,0,973,1,298,0
76,601,992,64,0,33.3333,33.3333,0,33.3333,0,0,0,0,0,0,0,0,0,0,1373,78,298,0,1073,1,298,0
77,474,941,68,0,33.3333,33.3333,0,33.3333,0,0,0,0,0,0,0,0,0,0,1373,78,298,0,1173,1,298,0
78,375,816,68,0,33.3333,33.3333,0,33.3333,0,0,0,0,0,0,0,0,0,0,1373,78,298,0,1373,1,298,0
79,1220,1350,4.5,11.111,22.222,22.222,22.222,22.222,0,0,0,0,0,0,0,0,0,0,0,80,298,0,973,1,298,0
80,1100,1280,6.5,11.111,22.222,22.222,22.222,22.222,0,0,0,0,0,0,0,0,0,0,0,80,298,0,1073,1,298,0
81,770,1000,12,11.111,22.222,22.222,22.222,22.222,0,0,0,0,0,0,0,0,0,0,0,80,298,0,1173,1,298,0
82,550,830,27,11.111,22.222,22.222,22.222,22.222,0,0,0,0,0,0,0,0,0,0,0,80,298,0,1273,1,298,0
83,430,770,41,11.111,22.222,22.222,22.222,22.222,0,0,0,0,0,0,0,0,0,0,0,80,298,0,1373,1,298,0
84,320,730,52,11.111,22.222,22.222,22.222,22.222,0,0,0,0,0,0,0,0,0,0,0,80,298,0,1473,1,298,0
85,1720,1720,9,0,34,20,6,34,0,0,0,0,0,6,0,0,0,0,1473,70,298,0,0,0,298,0
86,1470,1470,15,0,34,20,6,34,0,0,0,0,0,6,0,0,0,0,1473,70,298,0,948,1,298,0
87,1050,1190,22,0,34,20,6,34,0,0,0,0,0,6,0,0,0,0,1473,70,298,0,948,5,298,0
88,1020,1200,36,0,34,20,6,34,0,0,0,0,0,6,0,0,0,0,1473,70,298,0,948,10,298,0
89,1270,1310,20,0,34,20,6,34,0,0,0,0,0,6,0,0,0,0,1473,70,298,0,973,0.5,298,0
90,1100,1260,32,0,34,20,6,34,0,0,0,0,0,6,0,0,0,0,1473,70,298,0,973,1,298,0
91,940,1190,37,0,34,20,6,34,0,0,0,0,0,6,0,0,0,0,1473,70,298,0,1073,1,298,0
92,1080,1230,30,0,34,20,6,34,0,0,0,0,0,6,0,0,0,0,1473,70,298,0,1073,0.05,298,0
93,640,1080,42,0,34,20,6,34,0,0,0,0,0,6,0,0,0,0,1473,70,298,0,1173,1,298,0
94,440,960,63,0,34,20,6,34,0,0,0,0,0,6,0,0,0,0,1473,70,298,0,1273,1,298,0
95,320,790,82,0,34,20,6,34,0,0,0,0,0,6,0,0,0,0,1473,70,298,0,1423,1,298,0
96,378.7,700.1,54,0,20,20,20,20,0,0,0,20,0,0,0,0,0,0,1373,80,298,0,1073,1,298,0
97,520.9,791.4,40,0,19.9,19.9,19.9,19.9,0,0,0,19.9,0,0,0.5,0,0,0,1373,80,298,0,1073,1,298,0
98,643.8,887.6,32,0,19.8,19.8,19.8,19.8,0,0,0,19.8,0,0,1,0,0,0,1373,80,298,0,1073,1,298,0
99,272,567,47,0,10,10,40,0,0,0,0,40,0,0,0,0,0,0,1473,60,298,0,1173,0.05,298,0
100,743,743,49,7,23.25,23.25,23.25,23.25,0,0,0,0,0,0,0,0,0,0,1423,50,298,0,0,0,298,0
101,733,810,19,7,23.25,23.25,23.25,23.25,0,0,0,0,0,0,0,0,0,0,1423,50,298,0,973,4,298,0
